Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egzaminas
Lukas Jankauskas 8 4 6 1 4 7 2 9 2 6 1
Jonas Jankauskas 7 6 7 5 8 9 10 9 9 9 3
Petras Jonaitis 1 8 5 1 10 9 3 9 6 10 2
Paulius Brazinskas 7 8 7 5 2 4 10 9 5 6 1
Kazys Petraitis 10 9 9 10 9 5 9 4 3 2 8
Jonas Petraitis 7 4 4 10 4 5 3 10 5 8 4
Paulius Jankauskas 5 4 1 7 5 3 8 7 8 1 2
Antanas Jankauskas 3 9 10 7 5 2 2 2 10 5 7
Marius Kavaliauskas 1 3 4 10 3 3 8 10 1 3 4
Darius Brazinskas 2 3 8 8 2 5 1 4 2 5 7
Antanas Stankevicius 6 10 5 6 3 3 2 2 1 6 4
Marius Kazlauskas 8 6 5 5 2 7 6 6 7 3 6
Tomas Jankauskas 10 3 4 5 4 9 6 6 10 8 3
Tomas Zukauskas 10 9 6 10 6 9 7 8 6 6 6
Kazys Jankauskas 8 9 4 5 1 1 2 9 4 3 3
Petras Zukauskas 1 3 9 6 2 7 4 6 3 8 7
Antanas Kazlauskas 9 9 4 6 2 1 5 3 2 2 10
Lukas Stankevicius 3 2 4 7 4 3 4 10 8 8 9
Kazys Kavaliauskas 5 2 9 8 3 4 2 10 4 4 10
Mantas Kavaliauskas 1 2 8 10 8 3 10 1 6 8 5
Kazys Brazinskas 9 2 7 2 3 7 8 1 6 7 2
Antanas Petraitis 6 10 9 8 1 4 7 5 2 9 6
Petras Kazlauskas 1 7 9 4 3 8 8 5 5 7 3
Antanas Kazlauskas 4 5 8 2 10 6 4 1 5 9 10
Tomas Petraitis 3 10 9 1 10 7 7 4 7 3 2
Lukas Kavaliauskas 2 2 7 2 1 8 6 1 2 10 7
Kazys Jonaitis 9 7 8 2 7 3 3 7 10 5 4
Darius Stankevicius 2 1 8 7 4 1 10 1 10 3 10
Darius Petraitis 10 6 6 10 9 4 2 5 10 10 3
Petras Stankevicius 3 6 3 1 2 3 5 10 2 4 9
Paulius Kazlauskas 5 2 1 9 4 7 2 1 8 6 8
Mantas Kavolis 1 4 5 7 5 8 1 3 10 4 6
Jonas Zukauskas 10 4 1 8 9 8 6 10 10 8 3
Kazys Jonaitis 3 8 10 2 8 1 6 8 1 1 8
Paulius Kavolis 9 8 9 5 3 7 6 8 5 3 5
Darius Stankevicius 10 1 10 8 7 3 4 8 9 6 8
Paulius Kavaliauskas 5 3 3 9 10 6 10 5 5 3 3
Antanas Petraitis 2 5 10 5 5 4 7 2 8 5 9
Marius Brazinskas 5 6 3 9 7 6 1 7 9 1 7
Petras Jankauskas 3 9 6 1 7 2 7 7 3 2 3
Lukas Kavaliauskas 8 8 9 4 8 5 3 10 9 1 7
Paulius Kazlauskas 10 9 8 8 6 2 1 8 3 4 3
Paulius Petraitis 10 7 5 1 8 4 7 4 6 10 7
Kazys Kavolis 8 5 2 1 6 3 9 1 4 2 9
Kazys Kazlauskas 5 7 6 6 2 8 8 1 10 10 9
Lukas Kavaliauskas 5 6 5 8 7 10 5 6 4 1 1
Paulius Kazlauskas 3 8 7 4 10 2 5 2 5 9 3
Paulius Kazlauskas 9 6 5 2 10 2 8 9 8 4 5
Kazys Petraitis 5 3 1 5 7 6 3 8 10 7 10
Jonas Brazinskas 9 3 8 4 4 5 7 9 2 6 3
Petras Stankevicius 7 6 4 1 9 7 10 7 1 10 7
Mantas Stankevicius 3 4 3 2 3 9 3 6 1 8 6
Darius Jankauskas 10 6 9 5 3 10 2 1 9 1 7
Paulius Stankevicius 6 9 3 3 8 10 5 8 9 2 3
Tomas Kavolis 2 6 5 1 6 4 3 10 8 6 7
Petras Kavaliauskas 1 6 9 6 8 4 2 2 8 7 2
Darius Kazlauskas 1 5 2 2 2 9 9 8 8 8 6
Mantas Kavolis 2 2 4 7 8 4 8 4 10 7 7
Lukas Jankauskas 3 7 2 7 3 9 2 6 3 7 9
Mantas Zukauskas 10 8 8 4 10 9 7 5 2 7 5
Tomas Kavaliauskas 6 3 3 5 3 3 10 1 6 8 9
Petras Kazlauskas 6 1 3 4 4 1 10 8 9 5 1
Mantas Petraitis 9 6 10 10 1 10 2 7 8 9 6
Paulius Petraitis 10 7 10 10 9 2 6 10 3 8 7
Antanas Petraitis 3 9 8 8 4 4 9 7 4 3 10
Mantas Kavaliauskas 6 5 2 3 1 3 5 6 5 2 1
Mantas Zukauskas 6 2 3 10 2 8 6 8 9 10 8
Mantas Kavolis 1 10 7 9 3 8 7 6 8 2 7
Antanas Kazlauskas 8 2 1 1 7 1 1 9 7 8 3
Paulius Kazlauskas 2 2 7 4 4 6 4 9 1 8 10
Petras Kavolis 3 2 5 8 2 9 5 8 6 7 5
Antanas Kavaliauskas 7 5 10 2 1 1 5 5 6 8 7
Paulius Kavaliauskas 5 9 9 9 4 4 8 1 1 4 10
Marius Kavaliauskas 7 5 3 6 10 4 2 1 6 7 2
Paulius Jonaitis 6 1 9 4 10 10 7 6 10 4 9
Paulius Brazinskas 10 1 1 2 10 9 6 10 3 7 8
Kazys Jonaitis 6 1 5 1 5 6 6 6 8 4 8
Paulius Stankevicius 5 2 5 4 4 7 5 9 4 8 3
Paulius Jankauskas 3 5 5 7 10 5 4 9 10 8 8
Petras Stankevicius 4 6 10 2 1 10 4 5 5 8 7
Darius Petraitis 5 5 1 6 2 5 8 2 1 7 6
Tomas Kavolis 3 3 6 2 4 3 7 4 7 10 7
Petras Petraitis 1 10 2 9 3 4 6 2 6 1 8
Jonas Zukauskas 9 2 8 3 10 10 10 7 7 6 3
Darius Petraitis 5 1 10 9 8 3 4 9 10 7 7
Tomas Zukauskas 8 7 9 7 5 10 10 9 6 4 9
Kazys Kazlauskas 2 1 6 4 4 7 2 6 6 9 1
Jonas Jankauskas 2 9 8 8 8 2 8 10 10 2 10
Jonas Jonaitis 5 9 5 9 7 8 6 1 4 1 5
Paulius Kazlauskas 1 4 9 10 8 1 5 6 4 2 2
Antanas Zukauskas 7 4 10 2 7 4 2 3 6 2 5
Lukas Jonaitis 1 9 6 9 7 1 7 7 6 8 3
Marius Petraitis 2 10 3 4 10 5 6 4 3 4 10
Tomas Kazlauskas 6 4 9 5 3 5 4 3 10 4 7
Marius Jonaitis 9 4 3 8 2 8 6 3 7 1 2
Paulius Kavolis 10 3 7 3 4 9 8 9 8 9 3
Kazys Kavolis 7 6 4 9 10 1 8 7 6 5 2
Tomas Stankevicius 5 8 5 4 9 8 2 7 7 9 6
Mantas Zukauskas 8 5 4 10 10 9 3 6 1 2 7
Mantas Stankevicius 8 1 9 4 4 10 7 8 10 3 4
Petras Jonaitis 3 5 8 8 10 5 9 5 9 6 2
Kazys Stankevicius 9 4 1 7 6 9 7 5 5 2 3
Lukas Petraitis 6 9 1 2 3 4 10 8 6 6 4
Lukas Brazinskas 1 5 6 2 7 5 6 5 3 5 7
Lukas Stankevicius 8 9 5 8 1 4 4 2 5 2 3
Lukas Zukauskas 4 4 2 10 6 2 1 3 9 8 6
Antanas Jonaitis 10 2 9 5 6 10 1 8 2 4 3
Marius Zukauskas 4 6 5 6 6 3 8 1 3 6 9
Darius Zukauskas 5 3 2 2 2 9 3 2 2 2 7
Paulius Kavolis 1 8 8 10 10 6 1 9 8 8 7
Marius Brazinskas 5 8 5 6 1 2 10 2 10 1 3
Marius Stankevicius 7 1 1 2 4 4 6 6 9 7 6
Petras Petraitis 3 7 9 4 6 5 3 1 9 1 3
Paulius Brazinskas 3 4 7 5 5 10 10 7 1 8 8
Mantas Kavaliauskas 10 2 5 8 10 9 7 6 6 1 3
Paulius Kavaliauskas 10 7 5 7 7 10 3 2 7 4 4
Tomas Jonaitis 5 8 9 3 2 4 3 4 3 8 10
Marius Zukauskas 8 1 10 2 1 3 4 4 5 9 3
Petras Jankauskas 10 7 5 7 2 7 4 6 10 1 8
Darius Stankevicius 3 10 4 7 3 3 8 5 6 2 3
Jonas Kavolis 7 7 10 5 9 1 1 2 9 8 9
Antanas Zukauskas 10 9 8 3 8 9 9 5 4 9 10
Jonas Petraitis 3 8 4 7 7 1 7 10 7 2 2
Antanas Kavolis 1 1 6 7 4 7 9 5 1 6 9
Jonas Zukauskas 4 7 3 5 2 7 1 5 9 6 9
Jonas Jonaitis 7 10 10 8 3 9 9 10 5 4 4
Mantas Brazinskas 8 10 4 10 2 1 6 9 2 2 5
Tomas Jonaitis 7 10 2 7 5 9 6 1 5 8 9
Tomas Jonaitis 8 10 10 10 9 3 1 1 4 8 8
Kazys Kazlauskas 6 8 3 1 5 5 10 6 7 10 6
Mantas Jonaitis 2 5 8 9 4 5 4 4 1 5 8
Kazys Kavaliauskas 7 1 8 10 5 9 7 7 10 9 1
Antanas Kavaliauskas 4 4 10 10 3 4 5 3 5 7 5
Antanas Zukauskas 5 7 9 1 7 8 4 9 8 4 10
Kazys Kazlauskas 10 9 8 7 10 1 5 6 10 7 5
Darius Zukauskas 1 4 5 8 4 9 4 7 6 3 8
Lukas Brazinskas 3 10 7 1 6 2 8 7 1 7 1
Marius Jankauskas 9 7 8 5 5 2 5 10 7 1 10
Lukas Petraitis 7 7 7 3 9 6 3 1 7 1 10
Kazys Brazinskas 5 1 10 8 3 3 10 6 3 5 2
Marius Jankauskas 6 2 7 4 5 1 8 8 8 4 2
Darius Jankauskas 6 3 3 4 8 4 3 6 10 6 9
Antanas Kavolis 4 10 3 9 8 9 3 9 2 6 6
Lukas Kavolis 1 9 3 2 5 2 7 7 8 5 9
Jonas Stankevicius 5 2 5 7 3 9 5 2 4 8 4
Darius Jankauskas 9 7 6 2 5 8 9 2 2 8 5
Petras Kavaliauskas 3 8 4 4 8 1 9 3 1 3 4
Kazys Brazinskas 10 6 6 1 7 4 6 2 5 4 4
Lukas Kavolis 2 1 7 10 9 3 3 5 4 4 9
Darius Petraitis 3 8 4 9 6 2 4 6 10 10 6
Paulius Kazlauskas 3 10 4 7 3 7 5 2 5 3 3
Jonas Kazlauskas 8 8 7 8 9 2 3 9 7 4 1
Mantas Brazinskas 2 9 9 1 2 2 10 6 5 6 9
Paulius Kavolis 1 9 2 1 4 8 3 9 7 5 6
